examples 1494 | within max_len 1457 | K 32 | concurrency 2
50/1457 done, 703s elapsed
100/1457 done, 1335s elapsed
150/1457 done, 1834s elapsed
200/1457 done, 2432s elapsed
250/1457 done, 3118s elapsed
300/1457 done, 3729s elapsed
350/1457 done, 4262s elapsed
400/1457 done, 4847s elapsed
450/1457 done, 5316s elapsed
500/1457 done, 5844s elapsed
550/1457 done, 6435s elapsed
600/1457 done, 7071s elapsed
650/1457 done, 7686s elapsed
700/1457 done, 8153s elapsed
750/1457 done, 8765s elapsed
800/1457 done, 9322s elapsed
850/1457 done, 10026s elapsed
900/1457 done, 10595s elapsed
950/1457 done, 11065s elapsed
1000/1457 done, 11600s elapsed
1050/1457 done, 12098s elapsed
1100/1457 done, 12730s elapsed
1150/1457 done, 13286s elapsed
1200/1457 done, 13794s elapsed
1250/1457 done, 14337s elapsed
1300/1457 done, 14930s elapsed
1350/1457 done, 15531s elapsed
1400/1457 done, 16025s elapsed
1450/1457 done, 16612s elapsed
1457/1457 done, 16717s elapsed
saved 1457 examples to /root/teacher_cache.pt | actual token inside top-32 for 1457 examples | top-32 mass: mean 0.999 p10 0.999
